Day_of_Week,Weekend_Day,Month,Season,PM2.5 µg/m³,Over_PM25_Limit,NO µg/m³,NO2 µg/m³,CO mg/m³,O µg/m³,Mean_Temperature_°C,Humidity_Level_%,Mean_Windspeed_km/h,ATM_Pressure,ATM_Phenom_Fog,ATM_Phenom_Snow,ATM_Phenom_Rain,ATM_Phenom_Sultriness
2,0,1,1,128.0,1,253.6,80.1,2.0,7.3,2.0,89.0,3.0,1020.0,1,0,1,0
3,0,1,1,39.0,1,145.9,70.5,1.4,6.4,3.0,99.0,6.0,1018.0,0,0,1,0
4,0,1,1,45.0,1,117.6,54.2,1.4,6.0,4.0,96.0,8.0,1021.0,0,0,1,0
5,1,1,1,30.0,1,128.8,52.4,1.5,5.6,5.0,99.0,6.0,1015.0,1,0,1,0
6,1,1,1,19.0,0,123.5,53.8,1.5,6.7,6.0,98.0,6.0,1007.0,1,0,1,0
0,0,1,1,38.0,1,242.1,69.1,2.1,6.1,5.0,96.0,4.0,1020.0,1,0,0,1
1,0,1,1,56.0,1,306.9,83.1,2.3,5.8,5.0,94.0,4.0,1025.0,1,0,0,1
4,0,1,1,54.0,1,276.9,78.7,2.2,6.0,9.0,90.0,5.0,1019.0,0,0,1,1
5,1,1,1,57.0,1,186.2,62.1,1.9,5.5,9.0,94.0,6.0,1022.0,0,0,1,0
0,0,1,1,36.0,1,108.4,51.3,1.6,6.7,5.0,100.0,7.0,1019.0,1,0,1,0
1,0,1,1,11.0,0,102.2,52.5,1.5,7.9,6.0,94.0,8.0,1008.0,0,0,1,0
2,0,1,1,44.0,1,175.4,59.5,2.0,8.6,4.0,90.0,8.0,1012.0,1,0,0,0
3,0,1,1,45.0,1,322.3,75.7,1.9,5.7,3.0,99.0,4.0,1015.0,1,0,1,1
4,0,1,1,20.0,0,175.2,62.9,1.0,5.4,3.0,100.0,8.0,1010.0,0,0,1,0
5,1,1,1,27.0,1,173.8,59.2,1.1,5.5,4.0,100.0,6.0,1009.0,0,0,1,0
6,1,1,1,23.0,0,188.6,60.7,1.3,6.1,6.0,100.0,6.0,1003.0,0,0,1,0
0,0,1,1,31.0,1,165.4,59.9,1.2,5.6,7.0,100.0,7.0,1001.0,0,0,1,0
1,0,1,1,41.0,1,229.6,66.0,1.6,6.3,7.0,95.0,6.0,1005.0,1,0,0,0
2,0,1,1,57.0,1,371.6,86.8,2.1,6.1,7.0,92.0,3.0,1011.0,1,0,0,1
3,0,1,1,38.0,1,185.1,72.5,1.4,9.0,8.0,90.0,4.0,1015.0,1,0,0,1
4,0,1,1,35.0,1,178.5,74.5,1.2,13.3,7.0,84.0,6.0,1008.0,1,0,0,0
5,1,1,1,20.0,0,141.4,69.1,1.0,16.9,5.0,55.0,5.0,1010.0,0,0,0,0
6,1,1,1,27.0,1,91.1,52.7,0.9,23.2,7.0,58.0,10.0,1009.0,0,0,0,0
0,0,1,1,42.0,1,80.7,43.6,1.0,15.6,5.0,85.0,7.0,1001.0,0,0,0,0
1,0,1,1,51.0,1,120.7,59.8,1.1,11.1,3.0,90.0,6.0,1001.0,1,0,0,0
2,0,1,1,54.0,1,173.8,66.3,1.3,7.4,2.0,92.0,7.0,1004.0,1,0,1,0
3,0,1,1,21.0,0,131.5,65.4,1.0,10.2,2.0,99.0,6.0,1009.0,0,1,1,0
4,0,1,1,28.0,1,166.0,63.1,1.3,5.8,3.0,98.0,9.0,1011.0,0,0,1,0
5,1,2,1,33.0,1,150.6,55.1,1.4,5.6,5.0,100.0,7.0,1010.0,1,0,1,0
6,1,2,1,23.0,0,95.2,46.0,1.1,7.0,6.0,97.0,7.0,1009.0,1,0,1,0
0,0,2,1,19.0,0,128.8,54.7,1.2,8.2,7.0,100.0,7.0,1013.0,0,0,1,0
1,0,2,1,23.0,0,75.9,44.6,1.0,16.2,7.0,98.0,8.0,1015.0,0,0,1,0
2,0,2,1,26.0,1,85.9,44.8,1.1,12.4,7.0,99.0,10.0,1011.0,1,0,1,0
3,0,2,1,20.0,0,127.7,59.4,1.3,17.1,7.0,87.0,7.0,1013.0,1,0,1,0
4,0,2,1,29.0,1,149.0,64.4,1.3,6.0,6.0,97.0,6.0,1012.0,1,0,1,0
5,1,2,1,28.0,1,110.3,54.4,1.2,9.5,5.0,97.0,6.0,1008.0,1,0,1,0
