DateTime,PM10 µg/m³,PM2.5 µg/m³,NO µg/m³,NO2 µg/m³,CO mg/m³,O µg/m³,Passive_Cigarette,Over_PM25_Limit,Month
2014-01-01,140.0,128.0,253.6,80.1,2.0,7.3,5.8,1,1
2014-01-02,46.0,39.0,145.9,70.5,1.4,6.4,1.8,1,1
2014-01-03,50.0,45.0,117.6,54.2,1.4,6.0,2.0,1,1
2014-01-04,32.0,30.0,128.8,52.4,1.5,5.6,1.4,1,1
2014-01-05,24.0,19.0,123.5,53.8,1.5,6.7,0.9,0,1
2014-01-06,44.0,38.0,242.1,69.1,2.1,6.1,1.7,1,1
2014-01-07,65.0,56.0,306.9,83.1,2.3,5.8,2.5,1,1
2014-01-08,,,154.0,67.9,1.8,7.2,,0,1
2014-01-09,,,241.0,73.5,2.1,5.7,,0,1
2014-01-10,72.0,54.0,276.9,78.7,2.2,6.0,2.5,1,1
2014-01-11,80.0,57.0,186.2,62.1,1.9,5.5,2.6,1,1
2014-01-12,,,171.0,57.0,2.0,6.1,,0,1
2014-01-13,50.0,36.0,108.4,51.3,1.6,6.7,1.6,1,1
2014-01-14,18.0,11.0,102.2,52.5,1.5,7.9,0.5,0,1
2014-01-15,47.0,44.0,175.4,59.5,2.0,8.6,2.0,1,1
2014-01-16,54.0,45.0,322.3,75.7,1.9,5.7,2.0,1,1
2014-01-17,26.0,20.0,175.2,62.9,1.0,5.4,0.9,0,1
2014-01-18,31.0,27.0,173.8,59.2,1.1,5.5,1.2,1,1
2014-01-19,27.0,23.0,188.6,60.7,1.3,6.1,1.0,0,1
2014-01-20,36.0,31.0,165.4,59.9,1.2,5.6,1.4,1,1
2014-01-21,53.0,41.0,229.6,66.0,1.6,6.3,1.9,1,1
2014-01-22,73.0,57.0,371.6,86.8,2.1,6.1,2.6,1,1
2014-01-23,51.0,38.0,185.1,72.5,1.4,9.0,1.7,1,1
2014-01-24,40.0,35.0,178.5,74.5,1.2,13.3,1.6,1,1
2014-01-25,29.0,20.0,141.4,69.1,1.0,16.9,0.9,0,1
2014-01-26,32.0,27.0,91.1,52.7,0.9,23.2,1.2,1,1
2014-01-27,50.0,42.0,80.7,43.6,1.0,15.6,1.9,1,1
2014-01-28,58.0,51.0,120.7,59.8,1.1,11.1,2.3,1,1
2014-01-29,64.0,54.0,173.8,66.3,1.3,7.4,2.5,1,1
2014-01-30,21.0,21.0,131.5,65.4,1.0,10.2,1.0,0,1
2014-01-31,34.0,28.0,166.0,63.1,1.3,5.8,1.3,1,1
2014-02-01,39.0,33.0,150.6,55.1,1.4,5.6,1.5,1,2
2014-02-02,29.0,23.0,95.2,46.0,1.1,7.0,1.0,0,2
2014-02-03,21.0,19.0,128.8,54.7,1.2,8.2,0.9,0,2
2014-02-04,27.0,23.0,75.9,44.6,1.0,16.2,1.0,0,2
2014-02-05,32.0,26.0,85.9,44.8,1.1,12.4,1.2,1,2
2014-02-06,25.0,20.0,127.7,59.4,1.3,17.1,0.9,0,2
