DateTime,Mean_Temperature_°C,Humidity_Level_%,Mean_Windspeed_km/h,ATM_Pressure,ATM_Phenom_Fog,ATM_Phenom_Snow,ATM_Phenom_Rain,ATM_Phenom_Sultriness,Day_of_Week,Season
2014-01-01,2.0,89.0,3.0,1020.0,1,0,1,0,2,1
2014-01-02,3.0,99.0,6.0,1018.0,0,0,1,0,3,1
2014-01-03,4.0,96.0,8.0,1021.0,0,0,1,0,4,1
2014-01-04,5.0,99.0,6.0,1015.0,1,0,1,0,5,1
2014-01-05,6.0,98.0,6.0,1007.0,1,0,1,0,6,1
2014-01-06,5.0,96.0,4.0,1020.0,1,0,0,1,0,1
2014-01-07,5.0,94.0,4.0,1025.0,1,0,0,1,1,1
2014-01-08,8.0,84.0,7.0,1027.0,0,0,0,0,2,1
2014-01-09,8.0,87.0,7.0,1022.0,0,0,0,0,3,1
2014-01-10,9.0,90.0,5.0,1019.0,0,0,1,1,4,1
2014-01-11,9.0,94.0,6.0,1022.0,0,0,1,0,5,1
2014-01-12,5.0,99.0,6.0,1023.0,1,0,0,0,6,1
2014-01-13,5.0,100.0,7.0,1019.0,1,0,1,0,0,1
2014-01-14,6.0,94.0,8.0,1008.0,0,0,1,0,1,1
2014-01-15,4.0,90.0,8.0,1012.0,1,0,0,0,2,1
2014-01-16,3.0,99.0,4.0,1015.0,1,0,1,1,3,1
2014-01-17,3.0,100.0,8.0,1010.0,0,0,1,0,4,1
2014-01-18,4.0,100.0,6.0,1009.0,0,0,1,0,5,1
2014-01-19,6.0,100.0,6.0,1003.0,0,0,1,0,6,1
2014-01-20,7.0,100.0,7.0,1001.0,0,0,1,0,0,1
2014-01-21,7.0,95.0,6.0,1005.0,1,0,0,0,1,1
2014-01-22,7.0,92.0,3.0,1011.0,1,0,0,1,2,1
2014-01-23,8.0,90.0,4.0,1015.0,1,0,0,1,3,1
2014-01-24,7.0,84.0,6.0,1008.0,1,0,0,0,4,1
2014-01-25,5.0,55.0,5.0,1010.0,0,0,0,0,5,1
2014-01-26,7.0,58.0,10.0,1009.0,0,0,0,0,6,1
2014-01-27,5.0,85.0,7.0,1001.0,0,0,0,0,0,1
2014-01-28,3.0,90.0,6.0,1001.0,1,0,0,0,1,1
2014-01-29,2.0,92.0,7.0,1004.0,1,0,1,0,2,1
2014-01-30,2.0,99.0,6.0,1009.0,0,1,1,0,3,1
2014-01-31,3.0,98.0,9.0,1011.0,0,0,1,0,4,1
2014-02-01,5.0,100.0,7.0,1010.0,1,0,1,0,5,1
2014-02-02,6.0,97.0,7.0,1009.0,1,0,1,0,6,1
2014-02-03,7.0,100.0,7.0,1013.0,0,0,1,0,0,1
2014-02-04,7.0,98.0,8.0,1015.0,0,0,1,0,1,1
2014-02-05,7.0,99.0,10.0,1011.0,1,0,1,0,2,1
2014-02-06,7.0,87.0,7.0,1013.0,1,0,1,0,3,1
2014-02-07,6.0,97.0,6.0,1012.0,1,0,1,0,4,1
2014-02-08,5.0,97.0,6.0,1008.0,1,0,1,0,5,1
2014-02-09,7.0,87.0,10.0,1003.0,1,0,1,0,6,1
2014-02-10,5.0,94.0,13.0,1004.0,0,0,1,0,0,1
2014-02-11,6.0,91.0,7.0,1006.0,1,0,1,0,1,1
2014-02-12,8.0,71.0,9.0,1008.0,0,0,0,0,2,1
2014-02-13,5.0,85.0,7.0,1009.0,0,0,1,0,3,1
2014-02-14,7.0,71.0,8.0,1012.0,0,0,0,0,4,1
2014-02-15,6.0,83.0,4.0,1016.0,0,0,0,0,5,1
2014-02-16,7.0,98.0,4.0,1014.0,1,0,1,1,6,1
2014-02-17,8.0,96.0,6.0,1014.0,1,0,1,0,0,1
2014-02-18,9.0,89.0,6.0,1020.0,0,0,0,0,1,1
2014-02-19,9.0,96.0,7.0,1013.0,0,0,1,0,2,1
2014-02-20,9.0,93.0,6.0,1014.0,0,0,1,0,3,1
2014-02-21,9.0,88.0,5.0,1012.0,0,0,1,0,4,1
2014-02-22,9.0,80.0,7.0,1013.0,1,0,0,0,5,1
2014-02-23,8.0,80.0,6.0,1022.0,0,0,0,0,6,1
2014-02-24,8.0,75.0,5.0,1022.0,1,0,0,0,0,1
2014-02-25,7.0,77.0,5.0,1019.0,1,0,0,0,1,1
2014-02-26,8.0,92.0,8.0,1019.0,0,0,1,0,2,1
2014-02-27,7.0,93.0,5.0,1020.0,0,0,1,1,3,1
2014-02-28,7.0,90.0,9.0,1009.0,1,0,1,0,4,1
2014-03-01,7.0,93.0,10.0,999.0,0,0,1,0,5,2
2014-03-02,8.0,86.0,8.0,1000.0,0,0,1,0,6,2
2014-03-03,8.0,87.0,6.0,997.0,0,0,1,0,0,2
2014-03-04,10.0,76.0,9.0,997.0,0,0,1,0,1,2
2014-03-05,10.0,69.0,7.0,1010.0,1,0,0,0,2,2
2014-03-06,11.0,60.0,6.0,1019.0,0,0,0,0,3,2
2014-03-07,11.0,60.0,6.0,1022.0,0,0,0,0,4,2
2014-03-08,10.0,71.0,8.0,1027.0,0,0,0,0,5,2
2014-03-09,10.0,74.0,5.0,1029.0,1,0,0,0,6,2
2014-03-10,10.0,70.0,8.0,1023.0,0,0,0,0,0,2
2014-03-11,9.0,68.0,6.0,1024.0,0,0,0,0,1,2
2014-03-12,11.0,63.0,6.0,1029.0,0,0,0,0,2,2
2014-03-13,11.0,64.0,5.0,1027.0,1,0,0,0,3,2
2014-03-14,12.0,63.0,4.0,1025.0,0,0,0,0,4,2
2014-03-15,12.0,67.0,10.0,1016.0,1,0,0,0,5,2
2014-03-16,16.0,60.0,9.0,1015.0,0,0,0,0,6,2
2014-03-17,15.0,67.0,7.0,1017.0,1,0,0,0,0,2
2014-03-18,13.0,79.0,9.0,1018.0,1,0,0,0,1,2
2014-03-19,16.0,65.0,12.0,1019.0,0,0,0,0,2,2
2014-03-20,13.0,87.0,8.0,1025.0,1,0,0,0,3,2
2014-03-21,14.0,79.0,8.0,1020.0,1,0,0,0,4,2
2014-03-22,13.0,84.0,11.0,1012.0,0,0,1,0,5,2
2014-03-23,10.0,81.0,14.0,1000.0,0,0,1,0,6,2
2014-03-24,10.0,57.0,11.0,1006.0,0,0,0,0,0,2
2014-03-25,7.0,72.0,11.0,1008.0,0,0,1,0,1,2
2014-03-26,9.0,75.0,8.0,1010.0,0,0,1,0,2,2
2014-03-27,10.0,67.0,6.0,1010.0,0,0,0,0,3,2
2014-03-28,11.0,68.0,6.0,1015.0,0,0,0,0,4,2
2014-03-29,13.0,61.0,6.0,1021.0,0,0,0,0,5,2
2014-03-30,14.0,60.0,6.0,1018.0,0,0,0,0,6,2
2014-03-31,14.0,58.0,11.0,1015.0,0,0,0,0,0,2
2014-04-01,15.0,62.0,11.0,1014.0,0,0,0,0,1,2
2014-04-02,14.0,69.0,9.0,1014.0,0,0,0,0,2,2
2014-04-03,14.0,77.0,5.0,1011.0,0,0,0,0,3,2
2014-04-04,14.0,80.0,6.0,1007.0,0,0,1,0,4,2
2014-04-05,15.0,79.0,9.0,1010.0,1,0,1,0,5,2
2014-04-06,16.0,69.0,6.0,1016.0,1,0,0,0,6,2
2014-04-07,18.0,62.0,6.0,1018.0,0,0,0,0,0,2
2014-04-08,16.0,69.0,9.0,1017.0,0,0,0,0,1,2
2014-04-09,16.0,64.0,10.0,1017.0,1,0,0,0,2,2
2014-04-10,16.0,54.0,9.0,1017.0,0,0,0,0,3,2
2014-04-11,16.0,62.0,10.0,1016.0,0,0,0,0,4,2
2014-04-12,16.0,61.0,8.0,1016.0,0,0,0,0,5,2
2014-04-13,16.0,69.0,8.0,1016.0,0,0,0,0,6,2
2014-04-14,16.0,68.0,10.0,1014.0,0,0,0,0,0,2
2014-04-15,15.0,44.0,17.0,1013.0,0,0,0,0,1,2
2014-04-16,12.0,37.0,8.0,1020.0,0,0,0,0,2,2
2014-04-17,12.0,37.0,6.0,1018.0,0,0,0,0,3,2
2014-04-18,12.0,49.0,5.0,1009.0,0,0,1,0,4,2
